loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,train_accuracy
0.6036,3.815539598464966,4.9000000000000005e-06,0.13123359580052493,50,,,,,,,,,,,0.674712643678161
0.6036,3.815539598464966,4.9000000000000005e-06,0.13123359580052493,50,,,,,,,,,,,0.7486042692939244
,,,0.13123359580052493,50,0.5702069997787476,0.7642810242941562,1.1081,1374.382,21.658,,,,,,0.674712643678161
,,,0.13123359580052493,50,0.5702069997787476,0.7642810242941562,1.1081,1374.382,21.658,,,,,,0.7486042692939244
0.5696,6.496039867401123,9.800000000000001e-06,0.26246719160104987,100,,,,,,,,,,,0.770607553366174
,,,0.26246719160104987,100,0.5256319642066956,0.7557452396585687,1.047,1454.679,22.923,,,,,,0.770607553366174
0.4737,7.5829081535339355,1.48e-05,0.3937007874015748,150,,,,,,,,,,,0.8288998357963875
,,,0.3937007874015748,150,0.42772242426872253,0.8187787261982928,1.1115,1370.243,21.593,,,,,,0.8288998357963875
0.4394,4.381682395935059,1.9800000000000004e-05,0.5249343832020997,200,,,,,,,,,,,0.8426929392446634
,,,0.5249343832020997,200,0.4328477084636688,0.8266579120157583,1.116,1364.694,21.505,,,,,,0.8426929392446634
0.4226,6.820235252380371,2.48e-05,0.6561679790026247,250,,,,,,,,,,,0.815927750410509
,,,0.6561679790026247,250,0.49506211280822754,0.7872619829284307,1.1122,1369.375,21.579,,,,,,0.815927750410509
0.4591,8.480106353759766,2.98e-05,0.7874015748031497,300,,,,,,,,,,,0.8683087027914614
,,,0.7874015748031497,300,0.386262446641922,0.8443860801050558,1.114,1367.203,21.545,,,,,,0.8683087027914614
0.4215,5.310376167297363,3.48e-05,0.9186351706036745,350,,,,,,,,,,,0.8704433497536945
,,,0.9186351706036745,350,0.44004198908805847,0.8174655285620486,1.143,1332.461,20.997,,,,,,0.8704433497536945
0.3946,4.831465721130371,3.9800000000000005e-05,1.0498687664041995,400,,,,,,,,,,,0.8694581280788177
,,,1.0498687664041995,400,0.4224942624568939,0.8253447143795141,1.1165,1364.084,21.496,,,,,,0.8694581280788177
0.3552,3.3842480182647705,4.4800000000000005e-05,1.1811023622047245,450,,,,,,,,,,,0.8852216748768473
,,,1.1811023622047245,450,0.4495895802974701,0.8384766907419566,1.1332,1343.924,21.178,,,,,,0.8852216748768473
,,,1.1811023622047245,450,,,,,,104.0368,585.37,36.622,310540934198880.0,0.4599259779188368,0.8852216748768473
